更新时间: 2026-01-22 03:57:44（北京时间）

更新时间,#genre#
2026-01-22 03:57:44,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
吉林卫视,http://121.230.174.1:8000/rtp/239.49.8.113:8000$江苏电信
内蒙古卫视,http://223.214.248.90:4022/rtp/238.1.78.103:6696$安徽电信
宁夏卫视,http://223.214.248.90:4022/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://116.9.34.165:4000/rtp/239.81.0.200:4056$广西电信
山西卫视,http://223.214.248.90:4022/rtp/238.1.78.95:6632$安徽电信
陕西卫视,http://223.214.248.90:4022/rtp/238.1.78.88:6576$安徽电信
甘肃卫视,http://223.214.248.90:4022/rtp/238.1.79.36:4400$安徽电信
甘肃卫视,http://116.9.34.165:4000/rtp/239.81.0.207:4056$广西电信
青海卫视,http://223.214.248.90:4022/rtp/238.1.78.102:6688$安徽电信
新疆卫视,http://223.214.248.90:4022/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://116.9.34.165:4000/rtp/239.81.0.122:4056$广西电信
西藏卫视,http://223.214.248.90:4022/rtp/238.1.78.101:6680$安徽电信
西藏卫视,http://116.9.34.165:4000/rtp/239.81.0.90:4056$广西电信
三沙卫视,http://180.125.178.205:8686/rtp/239.49.0.167:8000$江苏电信
三沙卫视,http://223.214.248.90:4022/rtp/238.1.78.27:6144$安徽电信
三沙卫视,http://121.230.174.1:8000/rtp/239.49.0.167:8000$江苏电信
兵团卫视,http://223.214.248.90:4022/rtp/238.1.78.104:6704$安徽电信
兵团卫视,http://116.9.34.165:4000/rtp/239.81.0.223:4056$广西电信
